,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Company_Name,Daily_Return,Trading_Range,Volume_Ratio,Trading_Day,Trading_Month,Trading_Quarter,Trading_Year
19,"January 19, 2024",188.41,191.01,187.9,190.63,68741000,0.0,0.0,AAPL,Apple Inc.,1.55,3.11,0.88,Friday,January,Q1,2024
20,"January 22, 2024",191.36,194.38,191.32,192.94,60133900,0.0,0.0,AAPL,Apple Inc.,1.22,3.06,0.87,Monday,January,Q1,2024
21,"January 23, 2024",194.07,194.8,192.89,194.23,42355600,0.0,0.0,AAPL,Apple Inc.,0.67,1.91,0.7,Tuesday,January,Q1,2024
22,"January 24, 2024",194.47,195.42,193.39,193.55,53631300,0.0,0.0,AAPL,Apple Inc.,-0.35,2.03,1.27,Wednesday,January,Q1,2024
23,"January 25, 2024",194.27,195.31,192.17,193.22,54822100,0.0,0.0,AAPL,Apple Inc.,-0.17,3.14,1.02,Thursday,January,Q1,2024
24,"January 26, 2024",193.32,193.81,191.0,191.48,44594000,0.0,0.0,AAPL,Apple Inc.,-0.9,2.81,0.81,Friday,January,Q1,2024
25,"January 29, 2024",191.07,191.26,188.66,190.8,47145600,0.0,0.0,AAPL,Apple Inc.,-0.36,2.61,1.06,Monday,January,Q1,2024
26,"January 30, 2024",190.01,190.86,186.56,187.12,55859400,0.0,0.0,AAPL,Apple Inc.,-1.92,4.31,1.18,Tuesday,January,Q1,2024
27,"January 31, 2024",186.13,186.19,183.45,183.5,55467800,0.0,0.0,AAPL,Apple Inc.,-1.94,2.74,0.99,Wednesday,January,Q1,2024
28,"February 01, 2024",183.09,186.04,182.92,185.95,64885400,0.0,0.0,AAPL,Apple Inc.,1.33,3.11,1.17,Thursday,February,Q1,2024
29,"February 02, 2024",178.98,186.42,178.38,184.94,102518000,0.0,0.0,AAPL,Apple Inc.,-0.54,8.04,1.58,Friday,February,Q1,2024
30,"February 05, 2024",187.23,188.33,184.93,186.77,69668800,0.0,0.0,AAPL,Apple Inc.,0.98,3.39,0.68,Monday,February,Q1,2024
31,"February 06, 2024",185.95,188.39,185.86,188.38,43490800,0.0,0.0,AAPL,Apple Inc.,0.86,2.53,0.62,Tuesday,February,Q1,2024
32,"February 07, 2024",189.71,190.12,187.69,188.49,53439000,0.0,0.0,AAPL,Apple Inc.,0.06,2.43,1.23,Wednesday,February,Q1,2024
33,"February 08, 2024",188.47,188.62,186.44,187.4,40962000,0.0,0.0,AAPL,Apple Inc.,-0.58,2.18,0.77,Thursday,February,Q1,2024
34,"February 09, 2024",187.97,189.31,187.32,188.17,45155200,0.24,0.0,AAPL,Apple Inc.,0.41,1.98,1.1,Friday,February,Q1,2024
35,"February 12, 2024",187.74,187.99,186.12,186.48,41781900,0.0,0.0,AAPL,Apple Inc.,-0.9,1.87,0.93,Monday,February,Q1,2024
36,"February 13, 2024",185.1,185.54,182.85,184.37,56529500,0.0,0.0,AAPL,Apple Inc.,-1.13,2.69,1.35,Tuesday,February,Q1,2024
37,"February 14, 2024",184.65,184.86,181.78,183.49,54630500,0.0,0.0,AAPL,Apple Inc.,-0.48,3.08,0.97,Wednesday,February,Q1,2024
38,"February 15, 2024",182.89,183.82,180.7,183.2,65434500,0.0,0.0,AAPL,Apple Inc.,-0.16,3.13,1.2,Thursday,February,Q1,2024
39,"February 16, 2024",182.76,184.18,181.02,181.65,49701400,0.0,0.0,AAPL,Apple Inc.,-0.84,3.17,0.76,Friday,February,Q1,2024
40,"February 20, 2024",181.13,181.77,179.35,180.91,53665600,0.0,0.0,AAPL,Apple Inc.,-0.41,2.42,1.08,Tuesday,February,Q1,2024
41,"February 21, 2024",181.28,182.23,180.01,181.66,41529700,0.0,0.0,AAPL,Apple Inc.,0.42,2.22,0.77,Wednesday,February,Q1,2024
42,"February 22, 2024",182.82,184.29,181.8,183.71,52292200,0.0,0.0,AAPL,Apple Inc.,1.12,2.49,1.26,Thursday,February,Q1,2024
43,"February 23, 2024",184.34,184.37,181.57,181.86,45119700,0.0,0.0,AAPL,Apple Inc.,-1.0,2.8,0.86,Friday,February,Q1,2024
44,"February 26, 2024",181.58,182.1,180.0,180.51,40867400,0.0,0.0,AAPL,Apple Inc.,-0.75,2.1,0.91,Monday,February,Q1,2024
45,"February 27, 2024",180.45,183.26,178.91,181.97,54318900,0.0,0.0,AAPL,Apple Inc.,0.81,4.34,1.33,Tuesday,February,Q1,2024
46,"February 28, 2024",181.85,182.46,179.48,180.77,48953900,0.0,0.0,AAPL,Apple Inc.,-0.66,2.98,0.9,Wednesday,February,Q1,2024
47,"February 29, 2024",180.62,181.91,178.88,180.1,136682600,0.0,0.0,AAPL,Apple Inc.,-0.37,3.03,2.79,Thursday,February,Q1,2024
48,"March 01, 2024",178.9,179.88,176.74,179.01,73488000,0.0,0.0,AAPL,Apple Inc.,-0.6,3.14,0.54,Friday,March,Q1,2024
49,"March 04, 2024",175.51,176.26,173.16,174.47,81510100,0.0,0.0,AAPL,Apple Inc.,-2.54,3.1,1.11,Monday,March,Q1,2024
50,"March 05, 2024",170.14,171.42,169.01,169.51,95132400,0.0,0.0,AAPL,Apple Inc.,-2.84,2.41,1.17,Tuesday,March,Q1,2024
51,"March 06, 2024",170.44,170.62,168.07,168.51,68587700,0.0,0.0,AAPL,Apple Inc.,-0.59,2.55,0.72,Wednesday,March,Q1,2024
52,"March 07, 2024",168.54,170.11,167.88,168.39,71765100,0.0,0.0,AAPL,Apple Inc.,-0.07,2.23,1.05,Thursday,March,Q1,2024
53,"March 08, 2024",168.39,173.07,168.33,170.11,76114600,0.0,0.0,AAPL,Apple Inc.,1.02,4.74,1.06,Friday,March,Q1,2024
54,"March 11, 2024",172.32,173.75,171.43,172.13,60139500,0.0,0.0,AAPL,Apple Inc.,1.18,2.32,0.79,Monday,March,Q1,2024
55,"March 12, 2024",172.53,173.4,170.39,172.61,59825400,0.0,0.0,AAPL,Apple Inc.,0.28,3.01,0.99,Tuesday,March,Q1,2024
56,"March 13, 2024",172.15,172.57,170.14,170.51,52488700,0.0,0.0,AAPL,Apple Inc.,-1.21,2.42,0.88,Wednesday,March,Q1,2024
57,"March 14, 2024",172.29,173.68,171.43,172.38,72913500,0.0,0.0,AAPL,Apple Inc.,1.09,2.25,1.39,Thursday,March,Q1,2024
58,"March 15, 2024",170.55,172.0,169.68,172.0,121664700,0.0,0.0,AAPL,Apple Inc.,-0.22,2.32,1.67,Friday,March,Q1,2024
59,"March 18, 2024",174.94,177.07,172.89,173.09,75604200,0.0,0.0,AAPL,Apple Inc.,0.64,4.17,0.62,Monday,March,Q1,2024
60,"March 19, 2024",173.71,175.97,172.41,175.45,55215200,0.0,0.0,AAPL,Apple Inc.,1.36,3.57,0.73,Tuesday,March,Q1,2024
61,"March 20, 2024",175.09,178.03,174.46,178.03,53423100,0.0,0.0,AAPL,Apple Inc.,1.47,3.57,0.97,Wednesday,March,Q1,2024
62,"March 21, 2024",176.41,176.85,170.22,170.75,106181300,0.0,0.0,AAPL,Apple Inc.,-4.09,6.63,1.99,Thursday,March,Q1,2024
63,"March 22, 2024",171.14,172.43,169.45,171.66,71106600,0.0,0.0,AAPL,Apple Inc.,0.53,2.98,0.67,Friday,March,Q1,2024
64,"March 25, 2024",169.96,171.32,168.84,170.23,54288300,0.0,0.0,AAPL,Apple Inc.,-0.83,2.48,0.76,Monday,March,Q1,2024
65,"March 26, 2024",169.39,170.8,168.97,169.1,57388400,0.0,0.0,AAPL,Apple Inc.,-0.67,1.83,1.06,Tuesday,March,Q1,2024
66,"March 27, 2024",169.8,172.97,169.5,172.69,60273300,0.0,0.0,AAPL,Apple Inc.,2.12,3.48,1.05,Wednesday,March,Q1,2024
67,"March 28, 2024",171.13,171.61,169.9,170.86,65672700,0.0,0.0,AAPL,Apple Inc.,-1.06,1.71,1.09,Thursday,March,Q1,2024
68,"April 01, 2024",170.57,170.63,168.87,169.42,46240500,0.0,0.0,AAPL,Apple Inc.,-0.85,1.76,0.7,Monday,April,Q2,2024
69,"April 02, 2024",168.47,168.73,167.62,168.23,49329500,0.0,0.0,AAPL,Apple Inc.,-0.7,1.11,1.07,Tuesday,April,Q2,2024
70,"April 03, 2024",168.18,170.06,167.97,169.04,47691700,0.0,0.0,AAPL,Apple Inc.,0.48,2.09,0.97,Wednesday,April,Q2,2024
71,"April 04, 2024",169.68,171.3,168.21,168.21,53704400,0.0,0.0,AAPL,Apple Inc.,-0.49,3.09,1.13,Thursday,April,Q2,2024
72,"April 05, 2024",168.98,169.78,168.34,168.97,42055200,0.0,0.0,AAPL,Apple Inc.,0.45,1.43,0.78,Friday,April,Q2,2024
73,"April 08, 2024",168.42,168.59,167.63,167.84,37425500,0.0,0.0,AAPL,Apple Inc.,-0.67,0.96,0.89,Monday,April,Q2,2024
74,"April 09, 2024",168.09,169.47,167.74,169.06,42451200,0.0,0.0,AAPL,Apple Inc.,0.72,1.72,1.13,Tuesday,April,Q2,2024
75,"April 10, 2024",168.19,168.48,166.51,167.18,49709300,0.0,0.0,AAPL,Apple Inc.,-1.11,1.97,1.17,Wednesday,April,Q2,2024
76,"April 11, 2024",167.73,174.83,167.55,174.41,91070300,0.0,0.0,AAPL,Apple Inc.,4.33,7.27,1.83,Thursday,April,Q2,2024
77,"April 12, 2024",173.63,177.72,173.58,175.91,101593300,0.0,0.0,AAPL,Apple Inc.,0.86,4.14,1.12,Friday,April,Q2,2024
78,"April 15, 2024",174.73,175.99,171.88,172.07,73531800,0.0,0.0,AAPL,Apple Inc.,-2.19,4.12,0.72,Monday,April,Q2,2024
79,"April 16, 2024",171.13,173.13,167.66,168.77,73711200,0.0,0.0,AAPL,Apple Inc.,-1.92,5.47,1.0,Tuesday,April,Q2,2024
80,"April 17, 2024",169.0,170.03,167.39,167.39,50901200,0.0,0.0,AAPL,Apple Inc.,-0.81,2.64,0.69,Wednesday,April,Q2,2024
81,"April 18, 2024",167.42,168.03,165.95,166.44,43122900,0.0,0.0,AAPL,Apple Inc.,-0.57,2.08,0.85,Thursday,April,Q2,2024
82,"April 19, 2024",165.61,165.8,163.49,164.41,67772100,0.0,0.0,AAPL,Apple Inc.,-1.22,2.31,1.57,Friday,April,Q2,2024
83,"April 22, 2024",164.92,166.66,164.18,165.24,48116400,0.0,0.0,AAPL,Apple Inc.,0.51,2.48,0.71,Monday,April,Q2,2024
84,"April 23, 2024",164.75,166.45,164.33,166.3,49537800,0.0,0.0,AAPL,Apple Inc.,0.64,2.12,1.03,Tuesday,April,Q2,2024
85,"April 24, 2024",165.94,168.69,165.61,168.41,48251800,0.0,0.0,AAPL,Apple Inc.,1.27,3.08,0.97,Wednesday,April,Q2,2024
86,"April 25, 2024",168.92,169.99,167.54,169.28,50558300,0.0,0.0,AAPL,Apple Inc.,0.51,2.45,1.05,Thursday,April,Q2,2024
87,"April 26, 2024",169.27,170.72,168.57,168.69,44838400,0.0,0.0,AAPL,Apple Inc.,-0.35,2.15,0.89,Friday,April,Q2,2024
88,"April 29, 2024",172.74,175.4,172.48,172.87,68169400,0.0,0.0,AAPL,Apple Inc.,2.48,2.92,1.52,Monday,April,Q2,2024
89,"April 30, 2024",172.71,174.36,169.39,169.72,65934800,0.0,0.0,AAPL,Apple Inc.,-1.83,4.97,0.97,Tuesday,April,Q2,2024
90,"May 01, 2024",168.97,172.09,168.5,168.69,50383100,0.0,0.0,AAPL,Apple Inc.,-0.6,3.59,0.76,Wednesday,May,Q2,2024
91,"May 02, 2024",171.89,172.79,170.27,172.41,94214900,0.0,0.0,AAPL,Apple Inc.,2.2,2.52,1.87,Thursday,May,Q2,2024
92,"May 03, 2024",185.98,186.33,182.0,182.72,163224100,0.0,0.0,AAPL,Apple Inc.,5.98,4.32,1.73,Friday,May,Q2,2024
93,"May 06, 2024",181.69,183.54,179.77,181.05,78569700,0.0,0.0,AAPL,Apple Inc.,-0.91,3.77,0.48,Monday,May,Q2,2024
94,"May 07, 2024",182.79,184.23,180.67,181.74,77305800,0.0,0.0,AAPL,Apple Inc.,0.38,3.57,0.98,Tuesday,May,Q2,2024
95,"May 08, 2024",182.19,182.41,180.8,182.08,45057100,0.0,0.0,AAPL,Apple Inc.,0.19,1.61,0.58,Wednesday,May,Q2,2024
96,"May 09, 2024",181.9,183.99,181.45,183.9,48983000,0.0,0.0,AAPL,Apple Inc.,1.0,2.54,1.09,Thursday,May,Q2,2024
97,"May 10, 2024",184.48,184.67,181.72,182.64,50759500,0.25,0.0,AAPL,Apple Inc.,-0.69,2.95,1.04,Friday,May,Q2,2024
98,"May 13, 2024",185.02,186.68,184.2,185.86,72044800,0.0,0.0,AAPL,Apple Inc.,1.76,2.47,1.42,Monday,May,Q2,2024
99,"May 14, 2024",187.09,187.88,185.87,187.01,52393600,0.0,0.0,AAPL,Apple Inc.,0.62,2.01,0.73,Tuesday,May,Q2,2024
100,"May 15, 2024",187.49,190.22,186.95,189.29,70400000,0.0,0.0,AAPL,Apple Inc.,1.22,3.27,1.34,Wednesday,May,Q2,2024
101,"May 16, 2024",190.04,190.67,189.23,189.41,52845200,0.0,0.0,AAPL,Apple Inc.,0.06,1.44,0.75,Thursday,May,Q2,2024
102,"May 17, 2024",189.08,190.38,188.75,189.44,41282900,0.0,0.0,AAPL,Apple Inc.,0.02,1.63,0.78,Friday,May,Q2,2024
103,"May 20, 2024",188.9,191.49,188.58,190.61,44361300,0.0,0.0,AAPL,Apple Inc.,0.62,2.9,1.07,Monday,May,Q2,2024
104,"May 21, 2024",190.66,192.3,190.49,191.92,42309400,0.0,0.0,AAPL,Apple Inc.,0.69,1.81,0.95,Tuesday,May,Q2,2024
105,"May 22, 2024",191.84,192.39,189.84,190.47,34648500,0.0,0.0,AAPL,Apple Inc.,-0.75,2.54,0.82,Wednesday,May,Q2,2024
106,"May 23, 2024",190.55,190.57,186.21,186.46,51005900,0.0,0.0,AAPL,Apple Inc.,-2.11,4.36,1.47,Thursday,May,Q2,2024
107,"May 24, 2024",188.39,190.15,187.62,189.55,36294600,0.0,0.0,AAPL,Apple Inc.,1.66,2.53,0.71,Friday,May,Q2,2024
108,"May 28, 2024",191.08,192.57,188.67,189.56,52280100,0.0,0.0,AAPL,Apple Inc.,0.01,3.89,1.44,Tuesday,May,Q2,2024
109,"May 29, 2024",189.18,191.82,189.08,189.86,53068000,0.0,0.0,AAPL,Apple Inc.,0.16,2.73,1.02,Wednesday,May,Q2,2024
110,"May 30, 2024",190.33,191.75,190.2,190.86,49947900,0.0,0.0,AAPL,Apple Inc.,0.53,1.55,0.94,Thursday,May,Q2,2024
111,"May 31, 2024",191.01,192.14,189.48,191.82,75158300,0.0,0.0,AAPL,Apple Inc.,0.5,2.65,1.5,Friday,May,Q2,2024
112,"June 03, 2024",192.47,194.55,192.09,193.59,50080500,0.0,0.0,AAPL,Apple Inc.,0.93,2.46,0.67,Monday,June,Q2,2024
113,"June 04, 2024",194.2,194.88,192.59,193.91,47471400,0.0,0.0,AAPL,Apple Inc.,0.16,2.28,0.95,Tuesday,June,Q2,2024
114,"June 05, 2024",194.96,196.46,194.43,195.43,54156800,0.0,0.0,AAPL,Apple Inc.,0.78,2.03,1.14,Wednesday,June,Q2,2024
115,"June 06, 2024",195.25,196.06,193.73,194.04,41181800,0.0,0.0,AAPL,Apple Inc.,-0.71,2.32,0.76,Thursday,June,Q2,2024
116,"June 07, 2024",194.21,196.5,193.7,196.45,53103900,0.0,0.0,AAPL,Apple Inc.,1.24,2.79,1.29,Friday,June,Q2,2024
117,"June 10, 2024",196.46,196.86,191.72,192.68,97262100,0.0,0.0,AAPL,Apple Inc.,-1.91,5.14,1.83,Monday,June,Q2,2024
118,"June 11, 2024",193.21,206.69,193.19,206.68,172373300,0.0,0.0,AAPL,Apple Inc.,7.26,13.5,1.77,Tuesday,June,Q2,2024
119,"June 12, 2024",206.9,219.7,206.43,212.59,198134300,0.0,0.0,AAPL,Apple Inc.,2.86,13.27,1.15,Wednesday,June,Q2,2024
120,"June 13, 2024",214.26,216.26,211.12,213.76,97862700,0.0,0.0,AAPL,Apple Inc.,0.55,5.14,0.49,Thursday,June,Q2,2024
121,"June 14, 2024",213.37,214.69,210.82,212.01,70122700,0.0,0.0,AAPL,Apple Inc.,-0.82,3.86,0.72,Friday,June,Q2,2024
122,"June 17, 2024",212.89,218.46,212.24,216.18,93728300,0.0,0.0,AAPL,Apple Inc.,1.97,6.22,1.34,Monday,June,Q2,2024
123,"June 18, 2024",217.1,218.14,212.52,213.81,79943300,0.0,0.0,AAPL,Apple Inc.,-1.1,5.62,0.85,Tuesday,June,Q2,2024
124,"June 20, 2024",213.45,213.76,208.38,209.21,86172500,0.0,0.0,AAPL,Apple Inc.,-2.15,5.38,1.08,Thursday,June,Q2,2024
125,"June 21, 2024",209.92,211.41,206.64,207.02,246421400,0.0,0.0,AAPL,Apple Inc.,-1.04,4.77,2.86,Friday,June,Q2,2024
126,"June 24, 2024",207.25,212.22,206.12,207.67,80727000,0.0,0.0,AAPL,Apple Inc.,0.31,6.1,0.33,Monday,June,Q2,2024
127,"June 25, 2024",208.68,210.9,208.14,208.6,56713900,0.0,0.0,AAPL,Apple Inc.,0.45,2.76,0.7,Tuesday,June,Q2,2024
128,"June 26, 2024",211.02,214.38,210.17,212.77,66213200,0.0,0.0,AAPL,Apple Inc.,2.0,4.21,1.17,Wednesday,June,Q2,2024
129,"June 27, 2024",214.21,215.25,211.87,213.62,49772700,0.0,0.0,AAPL,Apple Inc.,0.4,3.38,0.75,Thursday,June,Q2,2024
130,"June 28, 2024",215.28,215.58,209.83,210.15,82542700,0.0,0.0,AAPL,Apple Inc.,-1.63,5.76,1.66,Friday,June,Q2,2024
131,"July 01, 2024",211.61,217.02,211.44,216.26,60402900,0.0,0.0,AAPL,Apple Inc.,2.91,5.58,0.73,Monday,July,Q3,2024
132,"July 02, 2024",215.66,219.88,214.62,219.77,58046200,0.0,0.0,AAPL,Apple Inc.,1.62,5.27,0.96,Tuesday,July,Q3,2024
133,"July 03, 2024",219.5,221.05,218.54,221.05,37369800,0.0,0.0,AAPL,Apple Inc.,0.58,2.51,0.64,Wednesday,July,Q3,2024
134,"July 05, 2024",221.15,225.94,221.15,225.83,60412400,0.0,0.0,AAPL,Apple Inc.,2.16,4.79,1.62,Friday,July,Q3,2024
135,"July 08, 2024",226.58,227.34,222.75,227.31,59085900,0.0,0.0,AAPL,Apple Inc.,0.65,4.59,0.98,Monday,July,Q3,2024
136,"July 09, 2024",227.42,228.88,225.86,228.16,48076100,0.0,0.0,AAPL,Apple Inc.,0.38,3.02,0.81,Tuesday,July,Q3,2024
137,"July 10, 2024",228.78,232.55,228.73,232.45,62627700,0.0,0.0,AAPL,Apple Inc.,1.88,3.82,1.3,Wednesday,July,Q3,2024
138,"July 11, 2024",230.87,231.87,225.26,227.06,64710600,0.0,0.0,AAPL,Apple Inc.,-2.32,6.61,1.03,Thursday,July,Q3,2024
139,"July 12, 2024",228.4,232.12,228.16,230.02,53046500,0.0,0.0,AAPL,Apple Inc.,1.31,3.95,0.82,Friday,July,Q3,2024
140,"July 15, 2024",235.95,236.7,232.56,233.87,62631300,0.0,0.0,AAPL,Apple Inc.,1.67,4.13,1.18,Monday,July,Q3,2024
141,"July 16, 2024",234.47,235.74,231.81,234.29,43234300,0.0,0.0,AAPL,Apple Inc.,0.18,3.93,0.69,Tuesday,July,Q3,2024
142,"July 17, 2024",228.93,230.94,226.13,228.36,57345900,0.0,0.0,AAPL,Apple Inc.,-2.53,4.81,1.33,Wednesday,July,Q3,2024
143,"July 18, 2024",229.76,229.92,221.77,223.67,66034600,0.0,0.0,AAPL,Apple Inc.,-2.05,8.15,1.15,Thursday,July,Q3,2024
144,"July 19, 2024",224.31,226.29,222.78,223.8,49151500,0.0,0.0,AAPL,Apple Inc.,0.06,3.51,0.74,Friday,July,Q3,2024
145,"July 22, 2024",226.5,227.27,222.59,223.46,48201800,0.0,0.0,AAPL,Apple Inc.,-0.16,4.68,0.98,Monday,July,Q3,2024
146,"July 23, 2024",223.86,226.43,222.18,224.5,39960300,0.0,0.0,AAPL,Apple Inc.,0.47,4.25,0.83,Tuesday,July,Q3,2024
147,"July 24, 2024",223.5,224.29,216.64,218.05,61777600,0.0,0.0,AAPL,Apple Inc.,-2.88,7.65,1.55,Wednesday,July,Q3,2024
148,"July 25, 2024",218.44,220.35,214.14,217.0,51391200,0.0,0.0,AAPL,Apple Inc.,-0.48,6.22,0.83,Thursday,July,Q3,2024
149,"July 26, 2024",218.21,219.0,215.52,217.47,41601300,0.0,0.0,AAPL,Apple Inc.,0.22,3.47,0.81,Friday,July,Q3,2024
150,"July 29, 2024",216.47,218.81,215.26,217.75,36311800,0.0,0.0,AAPL,Apple Inc.,0.13,3.54,0.87,Monday,July,Q3,2024
151,"July 30, 2024",218.7,219.83,215.63,218.31,41643800,0.0,0.0,AAPL,Apple Inc.,0.26,4.2,1.15,Tuesday,July,Q3,2024
152,"July 31, 2024",220.94,223.32,220.13,221.58,50036300,0.0,0.0,AAPL,Apple Inc.,1.5,3.18,1.2,Wednesday,July,Q3,2024
153,"August 01, 2024",223.86,223.97,216.53,217.87,62501000,0.0,0.0,AAPL,Apple Inc.,-1.68,7.44,1.25,Thursday,August,Q3,2024
154,"August 02, 2024",218.66,225.09,217.22,219.36,105568600,0.0,0.0,AAPL,Apple Inc.,0.69,7.87,1.69,Friday,August,Q3,2024
155,"August 05, 2024",198.64,213.02,195.56,208.8,119548600,0.0,0.0,AAPL,Apple Inc.,-4.82,17.46,1.13,Monday,August,Q3,2024
156,"August 06, 2024",204.84,209.52,200.62,206.76,69660500,0.0,0.0,AAPL,Apple Inc.,-0.97,8.9,0.58,Tuesday,August,Q3,2024
157,"August 07, 2024",206.43,213.16,205.92,209.35,63516400,0.0,0.0,AAPL,Apple Inc.,1.25,7.23,0.91,Wednesday,August,Q3,2024
158,"August 08, 2024",212.63,213.72,208.36,212.83,47161100,0.0,0.0,AAPL,Apple Inc.,1.66,5.36,0.74,Thursday,August,Q3,2024
159,"August 09, 2024",211.62,216.29,211.49,215.75,42201600,0.0,0.0,AAPL,Apple Inc.,1.37,4.8,0.89,Friday,August,Q3,2024
160,"August 12, 2024",215.83,219.27,215.36,217.29,38028100,0.25,0.0,AAPL,Apple Inc.,0.71,3.91,0.9,Monday,August,Q3,2024
161,"August 13, 2024",218.77,221.65,218.77,221.03,44155300,0.0,0.0,AAPL,Apple Inc.,1.72,2.88,1.16,Tuesday,August,Q3,2024
162,"August 14, 2024",220.33,222.78,219.46,221.48,41960600,0.0,0.0,AAPL,Apple Inc.,0.2,3.33,0.95,Wednesday,August,Q3,2024
163,"August 15, 2024",224.35,225.1,222.52,224.47,46414000,0.0,0.0,AAPL,Apple Inc.,1.35,2.59,1.11,Thursday,August,Q3,2024
164,"August 16, 2024",223.67,226.58,223.4,225.8,44340200,0.0,0.0,AAPL,Apple Inc.,0.59,3.18,0.96,Friday,August,Q3,2024
165,"August 19, 2024",225.47,225.74,222.79,225.64,40687800,0.0,0.0,AAPL,Apple Inc.,-0.07,2.95,0.92,Monday,August,Q3,2024
166,"August 20, 2024",225.52,226.92,225.2,226.26,30299000,0.0,0.0,AAPL,Apple Inc.,0.27,1.72,0.74,Tuesday,August,Q3,2024
167,"August 21, 2024",226.27,227.73,224.8,226.15,34765500,0.0,0.0,AAPL,Apple Inc.,-0.05,2.93,1.15,Wednesday,August,Q3,2024
168,"August 22, 2024",227.54,228.09,223.65,224.28,43695300,0.0,0.0,AAPL,Apple Inc.,-0.83,4.44,1.26,Thursday,August,Q3,2024
169,"August 23, 2024",225.41,227.97,224.08,226.59,38677300,0.0,0.0,AAPL,Apple Inc.,1.03,3.89,0.89,Friday,August,Q3,2024
170,"August 26, 2024",226.51,227.03,223.64,226.93,30602200,0.0,0.0,AAPL,Apple Inc.,0.15,3.39,0.79,Monday,August,Q3,2024
171,"August 27, 2024",225.75,228.6,224.64,227.78,35934600,0.0,0.0,AAPL,Apple Inc.,0.37,3.96,1.17,Tuesday,August,Q3,2024
172,"August 28, 2024",227.67,229.61,225.43,226.24,38052200,0.0,0.0,AAPL,Apple Inc.,-0.68,4.18,1.06,Wednesday,August,Q3,2024
173,"August 29, 2024",229.85,232.66,228.63,229.54,51906300,0.0,0.0,AAPL,Apple Inc.,1.46,4.04,1.36,Thursday,August,Q3,2024
174,"August 30, 2024",229.94,230.15,227.23,228.75,52990800,0.0,0.0,AAPL,Apple Inc.,-0.34,2.92,1.02,Friday,August,Q3,2024
