Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2023-12-18 00:00:00+00:00,1.0895264148712158,1.0930036306381226,1.0894551277160645,1.0895264148712158,0,0.0,0.0,EURUSD=X
2023-12-19 00:00:00+00:00,1.092382788658142,1.098799705505371,1.091607689857483,1.092382788658142,0,0.0,0.0,EURUSD=X
2023-12-20 00:00:00+00:00,1.0981045961380005,1.09797203540802,1.0935654640197754,1.0981045961380005,0,0.0,0.0,EURUSD=X
2023-12-21 00:00:00+00:00,1.0945708751678467,1.099976897239685,1.0936251878738403,1.0945708751678467,0,0.0,0.0,EURUSD=X
2023-12-22 00:00:00+00:00,1.100618600845337,1.1040574312210083,1.0994206666946411,1.100618600845337,0,0.0,0.0,EURUSD=X
2023-12-25 00:00:00+00:00,1.102657437324524,1.1042402982711792,1.0999890565872192,1.102657437324524,0,0.0,0.0,EURUSD=X
2023-12-26 00:00:00+00:00,1.1020255088806152,1.1039965152740479,1.1009578704833984,1.1020255088806152,0,0.0,0.0,EURUSD=X
2023-12-27 00:00:00+00:00,1.1043012142181396,1.1122480630874634,1.1029249429702759,1.1043012142181396,0,0.0,0.0,EURUSD=X
2023-12-28 00:00:00+00:00,1.110864281654358,1.113945484161377,1.1071009635925293,1.110864281654358,0,0.0,0.0,EURUSD=X
2023-12-29 00:00:00+00:00,1.1068191528320312,1.1086474657058716,1.1043256521224976,1.1068191528320312,0,0.0,0.0,EURUSD=X
2024-01-01 00:00:00+00:00,1.1055831909179688,1.1053388118743896,1.1039965152740479,1.1055831909179688,0,0.0,0.0,EURUSD=X
2024-01-02 00:00:00+00:00,1.1038745641708374,1.1046061515808105,1.0941996574401855,1.1038745641708374,0,0.0,0.0,EURUSD=X
2024-01-03 00:00:00+00:00,1.0941756963729858,1.0967004299163818,1.0898706912994385,1.0941756963729858,0,0.0,0.0,EURUSD=X
2024-01-04 00:00:00+00:00,1.0927767753601074,1.0970205068588257,1.0917030572891235,1.0927767753601074,0,0.0,0.0,EURUSD=X
2024-01-05 00:00:00+00:00,1.0947387218475342,1.0996382236480713,1.0879853963851929,1.0947387218475342,0,0.0,0.0,EURUSD=X
2024-01-08 00:00:00+00:00,1.0942236185073853,1.0978153944015503,1.092454433441162,1.0942236185073853,0,0.0,0.0,EURUSD=X
2024-01-09 00:00:00+00:00,1.095170259475708,1.0967316627502441,1.0912623405456543,1.095170259475708,0,0.0,0.0,EURUSD=X
2024-01-10 00:00:00+00:00,1.0932426452636719,1.0969723463058472,1.0923351049423218,1.0932426452636719,0,0.0,0.0,EURUSD=X
2024-01-11 00:00:00+00:00,1.0975141525268555,1.0991426706314087,1.0931470394134521,1.0975141525268555,0,0.0,0.0,EURUSD=X
2024-01-12 00:00:00+00:00,1.0981649160385132,1.098659634590149,1.0937089920043945,1.0981649160385132,0,0.0,0.0,EURUSD=X
2024-01-15 00:00:00+00:00,1.0945708751678467,1.0958904027938843,1.0934100151062012,1.0945708751678467,0,0.0,0.0,EURUSD=X
2024-01-16 00:00:00+00:00,1.0945708751678467,1.094666838645935,1.086708426475525,1.0945708751678467,0,0.0,0.0,EURUSD=X
2024-01-17 00:00:00+00:00,1.087878942489624,1.0884946584701538,1.0845398902893066,1.087878942489624,0,0.0,0.0,EURUSD=X
