,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Company_Name,Report_Type,Net_Margin,Revenue_QoQ,Operating_Margin,Fiscal_Quarter,Fiscal_Year,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Average Dilution Earnings,Earnings From Equity Interest,Restructuring And Mergern Acquisition,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Other Special Charges,Insurance And Claims,Salaries And Wages,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Impairment Of Capital Assets,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement
2024-09-30,-2700449.076897,0.150025,32100000000.0,15328000000.0,13442000000.0,127882000000.0,32082000000.0,18640000000.0,653000000.0,603000000.0,1256000000.0,15343299550.923103,15328000000.0,141466000000.0,17411000000.0,10735000000.0,10501000000.0,1.43,1.46,15328000000.0,15328000000.0,15328000000.0,15328000000.0,15328000000.0,2706000000.0,18037000000.0,-27000000.0,-9000000.0,653000000.0,603000000.0,1256000000.0,17411000000.0,13584000000.0,,13322000000.0,30995000000.0,127882000000.0,158877000000.0,158877000000.0,"Amazon.com, Inc.",Quarterly,0.09647714898946984,,0.1095879202150091,3,2024,-18000000.0,-18000000.0,,,-18000000.0,10609000000.0,2713000000.0,2713000000.0,,,,-3000000.0,262000000.0,,,,,,,,,,,
2024-06-30,4636274.188258,0.115907,27832000000.0,13485000000.0,12038000000.0,119655000000.0,27872000000.0,15834000000.0,591000000.0,589000000.0,1180000000.0,13449636274.188257,13485000000.0,133305000000.0,14672000000.0,10708000000.0,10447000000.0,1.26,1.29,13485000000.0,13485000000.0,13485000000.0,13485000000.0,13485000000.0,1767000000.0,15245000000.0,-18000000.0,-58000000.0,591000000.0,589000000.0,1180000000.0,14672000000.0,13650000000.0,,13553000000.0,28322000000.0,119655000000.0,147977000000.0,147977000000.0,"Amazon.com, Inc.",Quarterly,0.0911290268082202,-0.0686,0.09915054366556965,2,2024,40000000.0,40000000.0,,,40000000.0,10512000000.0,3041000000.0,3041000000.0,,,,7000000.0,97000000.0,,,,,,,,,,,
2024-03-31,-460792960.024648,0.190018,27736000000.0,10431000000.0,11684000000.0,115374000000.0,25311000000.0,13627000000.0,349000000.0,644000000.0,993000000.0,12395207039.975351,10431000000.0,128006000000.0,15307000000.0,10670000000.0,10393000000.0,0.98,1.0,10431000000.0,10431000000.0,10431000000.0,10431000000.0,10431000000.0,2467000000.0,12983000000.0,-2673000000.0,-248000000.0,349000000.0,644000000.0,993000000.0,15307000000.0,12632000000.0,,12404000000.0,27939000000.0,115374000000.0,143313000000.0,143313000000.0,"Amazon.com, Inc.",Quarterly,0.07278474388227167,-0.0315,0.10680817511321374,1,2024,-2425000000.0,-2425000000.0,,,-2425000000.0,9662000000.0,2742000000.0,2742000000.0,,,,-85000000.0,228000000.0,,,,,,,,,,,
2023-12-31,60407715.914073,0.223732,27949000000.0,10624000000.0,13820000000.0,140686000000.0,28219000000.0,14399000000.0,188000000.0,713000000.0,901000000.0,10414407715.914074,10624000000.0,156752000000.0,13209000000.0,10610000000.0,10356000000.0,1.0,1.03,10624000000.0,10624000000.0,10624000000.0,10624000000.0,10624000000.0,3062000000.0,13686000000.0,289000000.0,19000000.0,188000000.0,713000000.0,901000000.0,13209000000.0,16066000000.0,,15912000000.0,29275000000.0,140686000000.0,169961000000.0,169961000000.0,"Amazon.com, Inc.",Quarterly,0.06250845782267697,0.1859,0.07771782938438819,4,2023,270000000.0,270000000.0,,,270000000.0,12902000000.0,3010000000.0,3010000000.0,,,,0.0,154000000.0,,,,,,,,,,,
2023-09-30,204700303.552383,0.189187,24044000000.0,9879000000.0,12131000000.0,118539000000.0,25126000000.0,12995000000.0,-30000000.0,806000000.0,776000000.0,9001700303.552383,9879000000.0,131895000000.0,11188000000.0,10558000000.0,10322000000.0,0.94,0.96,9879000000.0,9879000000.0,9879000000.0,9879000000.0,9879000000.0,2306000000.0,12189000000.0,1031000000.0,-51000000.0,-30000000.0,806000000.0,776000000.0,11188000000.0,13356000000.0,,13112000000.0,24544000000.0,118539000000.0,143083000000.0,143083000000.0,"Amazon.com, Inc.",Quarterly,0.06904384168629397,-0.1581,0.07819237785061817,3,2023,1082000000.0,1082000000.0,,,1082000000.0,10551000000.0,2561000000.0,2561000000.0,,,,-4000000.0,244000000.0,,,,,,,,,,,
2024-09-30,-96240000.0,0.24,,12898000000.0,1967000000.0,,,,23405000000.0,27011000000.0,50416000000.0,13202760000.0,12898000000.0,,,2865900000.0,2860600000.0,4.37,4.38,12537000000.0,12537000000.0,12898000000.0,12898000000.0,12898000000.0,4080000000.0,16978000000.0,,,,,,,,,14075000000.0,,,42656000000.0,42656000000.0,JPMorgan Chase & Co.,Quarterly,0.3023724681170293,,,3,2024,-401000000.0,-401000000.0,-401000000.0,,-14000000.0,1258000000.0,12817000000.0,,,,142000000.0,,,75000000.0,286000000.0,259000000.0,,12817000000.0,3705000000.0,2780000000.0,1604000000.0,,,
2024-06-30,-44748000.0,0.226,,18149000000.0,2002000000.0,,,,22746000000.0,25767000000.0,48513000000.0,18302252000.0,18149000000.0,,,2894900000.0,2889800000.0,6.12,6.13,17718000000.0,17718000000.0,18149000000.0,18149000000.0,18149000000.0,5286000000.0,23435000000.0,,,,,,,,,14174000000.0,,,50058000000.0,50058000000.0,JPMorgan Chase & Co.,Quarterly,0.36255943105997046,0.1735,,2,2024,-198000000.0,-198000000.0,-198000000.0,,7420000000.0,1221000000.0,12953000000.0,,,,-119000000.0,,,114000000.0,317000000.0,317000000.0,,12953000000.0,3695000000.0,2722000000.0,2805000000.0,,,
2024-03-31,-197792000.0,0.224,,13419000000.0,2004000000.0,,,,23082000000.0,24356000000.0,47438000000.0,14104208000.0,13419000000.0,,,2912800000.0,2908300000.0,4.44,4.45,12942000000.0,12942000000.0,13419000000.0,13419000000.0,13419000000.0,3874000000.0,17293000000.0,,,,,,,,,14526000000.0,,,41908000000.0,41908000000.0,JPMorgan Chase & Co.,Quarterly,0.3202013935286819,-0.1628,,1,2024,-883000000.0,-883000000.0,-883000000.0,,-392000000.0,1160000000.0,13366000000.0,,,,230000000.0,,,80000000.0,397000000.0,653000000.0,248000000.0,13118000000.0,3632000000.0,2548000000.0,1168000000.0,,,
2023-12-31,-593435546.530108,0.178262,,9307000000.0,3337000000.0,,,,24051000000.0,23333000000.0,47384000000.0,12042564453.469893,9307000000.0,,,2919100000.0,2914400000.0,3.04,3.04,8871000000.0,8871000000.0,9307000000.0,9307000000.0,9307000000.0,2019000000.0,11326000000.0,,,,,,,,,13145000000.0,,,38600000000.0,38600000000.0,JPMorgan Chase & Co.,Quarterly,0.2411139896373057,-0.0789,,4,2023,-3329000000.0,-3329000000.0,-3329000000.0,,-754000000.0,1298000000.0,11847000000.0,,,,254000000.0,,,50000000.0,386000000.0,3075000000.0,,11847000000.0,3617000000.0,2606000000.0,1826000000.0,,,
2023-09-30,-173126000.0,0.214,,13151000000.0,2019000000.0,,,,22726000000.0,21830000000.0,44556000000.0,13786874000.0,13151000000.0,,,2932100000.0,2927500000.0,4.33,4.33,12685000000.0,12685000000.0,13151000000.0,13151000000.0,13151000000.0,3582000000.0,16733000000.0,,,,,,,,,12852000000.0,,,39761000000.0,39761000000.0,JPMorgan Chase & Co.,Quarterly,0.33075123865093936,0.0301,,3,2023,-809000000.0,-809000000.0,-809000000.0,,-682000000.0,1126000000.0,11726000000.0,,,,144000000.0,,,80000000.0,386000000.0,665000000.0,,11726000000.0,3583000000.0,2620000000.0,1793000000.0,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPMorgan Chase & Co.,Quarterly,,0.0,,1,2023,,,,,,,,,,,,,,,,,317000000.0,,,,,,,
2024-09-30,-24006019.563582,0.250063,,2990000000.0,621000000.0,,,,2623000000.0,18825000000.0,21448000000.0,3061993980.436418,2990000000.0,,,330800000.0,324800000.0,8.4,8.52,2780000000.0,2780000000.0,2990000000.0,2990000000.0,2990000000.0,997000000.0,3987000000.0,,,,,,,,,4281000000.0,,,12699000000.0,12699000000.0,"The Goldman Sachs Group, Inc.",Quarterly,0.2354516103630207,,,3,2024,-96000000.0,-96000000.0,-96000000.0,,0.0,159000000.0,4122000000.0,,,,,,,,210000000.0,24000000.0,,4122000000.0,242000000.0,400000000.0,2747000000.0,72000000.0,549000000.0,549000000.0
2024-06-30,-45255107.252298,0.222932,,3043000000.0,646000000.0,,,,2242000000.0,18198000000.0,20440000000.0,3200744892.747702,3043000000.0,,,335500000.0,329800000.0,8.62,8.73,2891000000.0,2891000000.0,3043000000.0,3043000000.0,3043000000.0,873000000.0,3916000000.0,,,,,,,,,4393000000.0,,,12731000000.0,12731000000.0,"The Goldman Sachs Group, Inc.",Quarterly,0.23902285759170527,0.0025,,2,2024,-203000000.0,-203000000.0,-203000000.0,,0.0,153000000.0,4240000000.0,,,,,,,,152000000.0,104000000.0,,4240000000.0,244000000.0,393000000.0,2753000000.0,99000000.0,547000000.0,547000000.0
2024-03-31,-38191000.0,0.211,,4132000000.0,627000000.0,,,,1608000000.0,17947000000.0,19555000000.0,4274809000.0,4132000000.0,,,339500000.0,335600000.0,11.58,11.67,3931000000.0,3931000000.0,4132000000.0,4132000000.0,4132000000.0,1105000000.0,5237000000.0,,,,,,,,,4738000000.0,,,14213000000.0,14213000000.0,"The Goldman Sachs Group, Inc.",Quarterly,0.29071976359670726,0.1164,,1,2024,-181000000.0,-181000000.0,-181000000.0,,0.0,153000000.0,4585000000.0,,,,,,,,201000000.0,101000000.0,,4585000000.0,247000000.0,384000000.0,2561000000.0,80000000.0,547000000.0,547000000.0
2023-12-31,80326530.612245,0.109139,,2008000000.0,780000000.0,,,,1339000000.0,17145000000.0,18484000000.0,1352326530.612245,2008000000.0,,,340900000.0,335700000.0,5.48,5.52,1867000000.0,1867000000.0,2008000000.0,2008000000.0,2008000000.0,246000000.0,2254000000.0,,,,,,,,,3777000000.0,,,11318000000.0,11318000000.0,"The Goldman Sachs Group, Inc.",Quarterly,0.17741650468280615,-0.2037,,4,2023,736000000.0,736000000.0,736000000.0,,0.0,175000000.0,3602000000.0,,,,,,,,141000000.0,9000000.0,,3602000000.0,268000000.0,471000000.0,1717000000.0,-745000000.0,2990000000.0,2990000000.0
2023-09-30,-242881712.626996,0.253266,,2058000000.0,1512000000.0,,,,1547000000.0,16710000000.0,18257000000.0,2774118287.373004,2058000000.0,,,343900000.0,338700000.0,5.47,5.52,1882000000.0,1882000000.0,2058000000.0,2058000000.0,2058000000.0,698000000.0,2756000000.0,,,,,,,,,4324000000.0,,,11817000000.0,11817000000.0,"The Goldman Sachs Group, Inc.",Quarterly,0.17415587712617417,0.0441,,3,2023,-959000000.0,-959000000.0,-959000000.0,,0.0,136000000.0,4188000000.0,,,,,,,,176000000.0,15000000.0,,4188000000.0,267000000.0,377000000.0,2479000000.0,944000000.0,648000000.0,648000000.0
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Goldman Sachs Group, Inc.",Quarterly,,0.0,,1,2023,,,,355000000.0,,,,,,,,,,,,,,,,,,,,
